"Unsere Schreibweise"	"Andere Schreibweise"
"Alien: Isolation"	"Alien: Isolation"
"Alien: Isolation"	"Alien:Isolation"
"Alien: Isolation"	"Aliens Isolation"
"Alien: Isolation"	"Allen Isolation"
"Aliens vs Predator (2010)"	"Alien vs Predator"
"Aliens vs Predator (2010)"	"Aliens vs Predator (2010)"
"Aliens vs Predator (2010)"	"Aliens vs Predators (2010)"
"Aliens vs Predator (2010)"	"Aliens vs Predators 2010"
"Aliens vs Predator (2010)"	"Aliens vs. Predator (2010)"
"Aliens vs. Predator (1999)"	"Aliens vs Predator Classic 2000"
"Aliens vs. Predator (1999)"	"Aliens vs Predator"
"Aliens vs. Predator (1999)"	"Aliens vs. Predator (1999)"
"Aliens: Colonial Marines"	"Aliens Colonial Marines"
"Aliens: Colonial Marines"	"Aliens: Colonial Marines"
"Aliens: Colonial Marines"	"alien colonial marines"
"Alone in the Dark: The New Nightmare"	"Alone in the Dark 4"
"Alone in the Dark: The New Nightmare"	"Alone in the Dark: The New Nightmare"
"Alpha Protocol"	"Alpha Protocol"
"Alpha Protocol"	"Alpha Protocoll"
"Altitude"	"Altitude"
"Alundra"	"Alundra"
"Always Sometimes Monsters"	"Always Sometimes Monsters"
"Amazing Alex"	"Amazing Alex"
"Amazing Ninja"	"Amazing Ninja"
"America's Army"	"America's Army"
"America's Army"	"Americans Army"
"America's Army"	"America’s Army"
"American McGee's Alice"	"American Mc Gees Alice"
"Amnesia: A Machine for Pigs"	"Amnesia - A Machine for Pigs"
"Amnesia: A Machine for Pigs"	"Amnesia"
"Amnesia: A Machine for Pigs"	"Amnesia: A Machine for Pigs"
"Amnesia: The Dark Descent"	"Amnesia - The Dark Descent"
"Amnesia: The Dark Descent"	"Amnesia: The Dark Descent"
"Anarchy Online"	"Anarchy Online"
"Anarchy Reigns"	"Anarchy Reigns"
"And Yet It Moves"	"And Yet It Moves"
"Angry Birds Rio"	"Angry Birds Rio"
"Angry Birds Transformers"	"Angry Birds Transformers"
"Angry Birds"	"Angry Birds"
"Angry Birds: Star Wars"	"Angry Birds Star Wars"
"Angry Birds: Star Wars"	"Angry Birds: Star Wars"
"Angry Video Game Nerd Adventures"	"Angry Video Game Nerd Adventure"
"Angry Video Game Nerd Adventures"	"Angry Video Game Nerd Adventures"
"Animal Crossing: New Leaf"	"Animal Crossing DS"
"Animal Crossing: New Leaf"	"Animal Crossing New Leaf"
"Animal Crossing: New Leaf"	"Animal Crossing"
"Animal Crossing: New Leaf"	"Animal Crossing: New Leaf"
"Anna's Quest"	"Anna´s Quest"
"Anno 1404"	"Anno 1404 Venedig"
"Anno 1404"	"Anno 1404 Venice"
"Anno 1404"	"Anno 1404"
"Anno 1404"	"Anno 1404: Venice (2010)"
"Anno 1404"	"Anno1404"
"Anno 1503"	"Anno 1503 A.D."
"Anno 1503"	"Anno 1503"
"Anno 1602: Erschaffung einer neuen Welt"	"Anno 1602"
"Anno 1602: Erschaffung einer neuen Welt"	"Anno 1602: Erschaffung einer neuen Welt (2005)"
"Anno 1602: Erschaffung einer neuen Welt"	"Anno 1602: Erschaffung einer neuen Welt"
"Anno 1602: Erschaffung einer neuen Welt"	"Anno1602"
"Anno 1701"	"Anno 1701"
"Anno 1701"	"Anno1701"
"Anno 2070"	"ANNO 2040"
"Anno 2070"	"Anno 2070 Die Tiefsee"
"Anno 2070"	"Anno 2070 Limited Edition"
"Anno 2070"	"Anno 2070"
"Anno 2070"	"Anno2070"
"Anno Online"	"Anno Online"
"Anno Online"	"Anno-Online"
"Anodyne"	"Anodyne"
"Anomaly: Warzone Earth"	"Anomaly Warzone Earth"
"Anomaly: Warzone Earth"	"Anomaly: Warzone Earth"
"Anstoss 3"	"Anstoss 3"
"Antamar"	"Antamar"
"Antichamber"	"Antichamber (Steam)"
"Antichamber"	"Antichamber"
"Anvil of Dawn"	"Anvil of Dawn"
"AquaNox 2: Revelation"	"AquaNox 2: Revelation"
"AquaNox 2: Revelation"	"Aquanox 2"
"Ar nosurge: Ode to an Unborn Star"	"Ar Nosurge"
"Ar nosurge: Ode to an Unborn Star"	"Ar nosurge: Ode to an Unborn Star"
"Arcana Heart 3 LOVE MAX!!!!!"	"Arcana Heart 3 LOVE MAX!!!!!"
"Arcana Heart 3"	"Arcana Heart 3 LoveMax"
"Arcana Heart 3"	"Arcana Heart 3: LOVE MAX!!!!!"
"Arcania: Gothic 4"	"Arcania"
"Arcania: Gothic 4"	"Arcania: Gothic 4"
"Arcania: Gothic 4"	"Gothic 4"
"Arcanum: Von Dampfmaschinen und Magie"	"Arcanum"
"Arcanum: Von Dampfmaschinen und Magie"	"Arcanum: Von Dampfmaschinen und Magie"
"ArcheAge"	"Arch Age"
"ArcheAge"	"ArcheAge"
"ArcheAge"	"Archeage Online"
"ArcheBlade"	"Arche Blade"
"ArcheBlade"	"ArcheBlade"
"Arena: Cyber Evolution"	"Areana Cyber Evolution"
"Arena: Cyber Evolution"	"Arena : Cyber Evolution"
"Ark: Survival Evolved"	"ARK Survival Evolves"
"Ark: Survival Evolved"	"ARK-Survival Evolved"
"Ark: Survival Evolved"	"ARK: Survival Envolved"
"Ark: Survival Evolved"	"Ark"
"Ark: Survival Evolved"	"Ark: Survivial Evolved"
"Ark: Survival Evolved"	"ark - survival evolved"
"Ark: Survival Evolved"	"ark survival evolved"
"ArmA II"	"ARMA2: Operation Arrowhead"
"ArmA II"	"ArmA 2 Operation Arrowhead"
"ArmA II"	"ArmA 2"
"ArmA II"	"ArmA 2: Operation Arrowhead"
"ArmA II"	"ArmA II: DayZ"
"ArmA II"	"ArmA2"
"ArmA II"	"Arma 2 (ACE, ACRE, weitere Realismusmods / Addons)"
"ArmA II"	"Arma 2 (DayZ, Vanilla und andere Mods)"
"ArmA II"	"Arma 2 - DayZ Mod"
"ArmA II"	"Arma 2 DayZ Mod"
"ArmA II"	"Arma 2 mit DayZ Epoch-Mod"
"ArmA II"	"Arma II Operation Arrowhead: DayZ"
"ArmA II"	"Arma II"
"ArmA II"	"Armed Assault II"
"ArmA II"	"Day Z"
"ArmA II"	"DayZ Mod"
"ArmA II"	"Dayz Overpoch"
"ArmA III"	"ARMA 3 (Altis Life)"
"ArmA III"	"ARMA 3"
"ArmA III"	"ARMA3"
"ArmA III"	"ArmA III"
"ArmA III"	"Arma 3 - Mod: King of the Hill"
"ArmA III"	"Arma 3 Altis Life"
"ArmA III"	"Arme III"
"ArmA III"	"Armed Assault 3"
"ArmA III"	"Armed Assault 3?"
"ArmA III"	"Armed Assault 3‎"
"ArmA: Armed Assault"	"ArmA"
"ArmA: Armed Assault"	"ArmA: Armed Assault"
"Armies of Exigo"	"Armies of Exigo"
"Army of Darkness: Defense"	"Army of Darkness (iOS)"
"Army of Darkness: Defense"	"Army of Darkness: Defense"
"Army of Two"	"Army of Two"
"Art of Balance"	"Art of Balance"
"Asphalt 8: Airborne"	"Asphalt 8"
"Asphalt 8: Airborne"	"Asphalt 8: Airborne"
"Assassin's Creed (2007)"	"Assassin's Creed (1)"
"Assassin's Creed (2007)"	"Assassins Creed 1"
"Assassin's Creed (2007)"	"Assassin’s Creed (1)"
"Assassin's Creed II"	"Ac2"
"Assassin's Creed II"	"Assasin'S Creed 2"
"Assassin's Creed II"	"Assasins Creed 2"
"Assassin's Creed II"	"Assasins Creed II"
"Assassin's Creed II"	"Assassin's Creed 2"
"Assassin's Creed II"	"Assassin's Creed II"
"Assassin's Creed II"	"Assassins Creed 2"
"Assassin's Creed II"	"Assassins Creed II"
"Assassin's Creed II"	"Assassin´s Creed 2"
"Assassin's Creed II"	"Assassin’s Creed II"
"Assassin's Creed II"	"Asssassin's Creed II"
"Assassin's Creed III"	"AC 3"
"Assassin's Creed III"	"Asassins Creed 3"
"Assassin's Creed III"	"Assasin Creed 3"
"Assassin's Creed III"	"Assasin's Creed 3"
"Assassin's Creed III"	"Assasins Creed 3 Liberations"
"Assassin's Creed III"	"Assasins Creed 3"
"Assassin's Creed III"	"Assassains creed 3"
"Assassin's Creed III"	"Assassin's Creed (3)"
"Assassin's Creed III"	"Assassin's Creed 3"
"Assassin's Creed III"	"Assassin's Creed III"
"Assassin's Creed III"	"Assassine Creed 3"
"Assassin's Creed III"	"Assassins Creed 3"
"Assassin's Creed III"	"Assassins Creed III"
"Assassin's Creed III"	"Assassins Creed Liberation"
"Assassin's Creed III"	"Assassins Creed: Liberation"
"Assassin's Creed III"	"Assassins's Creed III"
"Assassin's Creed III"	"AssassinsCreed 3"
"Assassin's Creed III"	"Assassin´s Creed 3"
"Assassin's Creed III"	"Assassin’s Creed III"
"Assassin's Creed III"	"Assassin’s Creed® III"
"Assassin's Creed III"	"assassin’s creed® liberation hd"
"Assassin's Creed IV: Black Flag"	"AC 4 Black Flag"
"Assassin's Creed IV: Black Flag"	"AC 4"
"Assassin's Creed IV: Black Flag"	"AC IV Black Flag"
"Assassin's Creed IV: Black Flag"	"AC IV: Black Flag"
"Assassin's Creed IV: Black Flag"	"AC4 - Black Flag"
"Assassin's Creed IV: Black Flag"	"AC4 Black Flag"
"Assassin's Creed IV: Black Flag"	"AC4: Black Flag"
"Assassin's Creed IV: Black Flag"	"AC5 Blag Flag"
"Assassin's Creed IV: Black Flag"	"AC:4 BF"
"Assassin's Creed IV: Black Flag"	"ACIV"
"Assassin's Creed IV: Black Flag"	"AS Black Flag"
"Assassin's Creed IV: Black Flag"	"Asassins's Creed 4"
"Assassin's Creed IV: Black Flag"	"Assasian Creed Black Flag"
"Assassin's Creed IV: Black Flag"	"Assasine Creed 4"
"Assassin's Creed IV: Black Flag"	"Assasins Creed - Black Flag"
"Assassin's Creed IV: Black Flag"	"Assasins Creed 4"
"Assassin's Creed IV: Black Flag"	"Assasins Creed Black Flaf"
"Assassin's Creed IV: Black Flag"	"Assasins Creed Black Flag"
"Assassin's Creed IV: Black Flag"	"Assasins Creed IV (XBoxOne)"
"Assassin's Creed IV: Black Flag"	"Assasins Creed IV"
"Assassin's Creed IV: Black Flag"	"Assasins Creed IV: Black Flag"
"Assassin's Creed IV: Black Flag"	"Assasins's Creed 4 Black Flag"
"Assassin's Creed IV: Black Flag"	"Assasin´s Creed IV Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassin Creed Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassin Creed: Blag Flag"
"Assassin's Creed IV: Black Flag"	"Assassin's Creed 4 PS4"
"Assassin's Creed IV: Black Flag"	"Assassin's Creed 4"
"Assassin's Creed IV: Black Flag"	"Assassin's Creed 4: Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassin's Creed Freedom Cry"
"Assassin's Creed IV: Black Flag"	"Assassin's Creed IV - Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassin's Creed IV Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassin's Creed IV"
"Assassin's Creed IV: Black Flag"	"Assassin's Creed IV: Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassin's Creed Pirates"
"Assassin's Creed IV: Black Flag"	"Assassin's creed 4 Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassine Creed BF"
"Assassin's Creed IV: Black Flag"	"Assassins  Creed Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassins Credd 4: Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassins Creed 4 Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassins Creed 4"
"Assassin's Creed IV: Black Flag"	"Assassins Creed 4: Aveline"
"Assassin's Creed IV: Black Flag"	"Assassins Creed 4: Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassins Creed 4: Schrei nach Freiheit"
"Assassin's Creed IV: Black Flag"	"Assassins Creed Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassins Creed Black Flagg"
"Assassin's Creed IV: Black Flag"	"Assassins Creed BlackFlag"
"Assassin's Creed IV: Black Flag"	"Assassins Creed IV Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassins Creed IV"
"Assassin's Creed IV: Black Flag"	"Assassins Creed IV: Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassins Creed – Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassins Creed: Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassins Crred 4 : Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassins creed4"
"Assassin's Creed IV: Black Flag"	"Assassins's Creed 4"
"Assassin's Creed IV: Black Flag"	"Assassins's Creed IV Black Flag"
"Assassin's Creed IV: Black Flag"	"AssassinsCreed Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassin´s Creed IV Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassin’s Creed IV Black Flag"
"Assassin's Creed IV: Black Flag"	"Assassin’s Creed IV: Black Flag"
"Assassin's Creed IV: Black Flag"	"Assasssins Creed Black Flag"
"Assassin's Creed IV: Black Flag"	"Black Flag"
"Assassin's Creed IV: Black Flag"	"asassins creed black flag"
"Assassin's Creed IV: Black Flag"	"assasins creed black fag"
"Assassin's Creed IV: Black Flag"	"assassin's creed black flag"
"Assassin's Creed: Brotherhood"	"AC Brotherhood"
"Assassin's Creed: Brotherhood"	"Assasins Creed Brotherhood"
"Assassin's Creed: Brotherhood"	"Assasin´s Creed: Brotherhood"
"Assassin's Creed: Brotherhood"	"Assassin's Creed Brotherhood"
"Assassin's Creed: Brotherhood"	"Assassin's Creed: Brotherhood"
"Assassin's Creed: Brotherhood"	"Assassin`s Creed Brotherhood"
"Assassin's Creed: Brotherhood"	"Assassins Creed Brotherhood"
"Assassin's Creed: Brotherhood"	"Assassins Creed Brotherhooh"
"Assassin's Creed: Brotherhood"	"Assassins Creed: Brotherhood"
"Assassin's Creed: Brotherhood"	"Assassin’s Creed: Brotherhood"
"Assassin's Creed: Brotherhood"	"acb"
"Assassin's Creed: Revelations"	"AC Relevations"
"Assassin's Creed: Revelations"	"Assasins Creed Relavations"
"Assassin's Creed: Revelations"	"Assasins creed: Revelations"
"Assassin's Creed: Revelations"	"Assasin´s Creed Revelation"
"Assassin's Creed: Revelations"	"Assassin's Creed Revelation"
"Assassin's Creed: Revelations"	"Assassin's Creed Revelations"
"Assassin's Creed: Revelations"	"Assassin's Creed: Revelation"
"Assassin's Creed: Revelations"	"Assassin's Creed: Revelations"
"Assassin's Creed: Revelations"	"Assassine Creed Revelation"
"Assassin's Creed: Revelations"	"Assassins Creed Revelation"
"Assassin's Creed: Revelations"	"Assassins creed Revelations"
"Assassin's Creed: Revelations"	"Assassin’s Creed: Revelations"
"Assassin's Creed: Revelations"	"ac revelations"
"Assassin's Creed: Revelations"	"assassins creed revelatikns"
"Assassin's Creed: Rogue"	"AC Rogue"
"Assassin's Creed: Rogue"	"Assasains Creed Rogue"
"Assassin's Creed: Rogue"	"Assasins Creed Rogue"
"Assassin's Creed: Rogue"	"Assassin's Creed Rogue"
"Assassin's Creed: Rogue"	"Assassin's Creed: Rogue"
"Assassin's Creed: Rogue"	"Assassins Creed Roge"
"Assassin's Creed: Rogue"	"Assassins Creed Rogue"
"Assassin's Creed: Rogue"	"Assassins Creed Rouge"
"Assassin's Creed: Rogue"	"Assassin´s Creed Rogue"
"Assassin's Creed: Rogue"	"Assassin’s Creed Rogue"
"Assassin's Creed: Rogue"	"Assassin’s Creed® Rogue"
"Assassin's Creed: Syndicate"	"AC Syndikate"
"Assassin's Creed: Syndicate"	"Assasins Creed Sindycate"
"Assassin's Creed: Syndicate"	"ac syndicate"
"Assassin's Creed: Syndicate"	"assasins creed syndicate"
"Assassin's Creed: Syndicate"	"assassin's creed - syndicate"
"Assassin's Creed: Syndicate"	"assassin's creed syndicate"
"Assassin's Creed: Syndicate"	"assassin's creed® syndicate"
"Assassin's Creed: Syndicate"	"assassin's crees syndicate"
"Assassin's Creed: Syndicate"	"assassins creed syndicate"
"Assassin's Creed: Syndicate"	"assassins creed: syndicate"
"Assassin's Creed: Syndicate"	"assassins syndicate"
"Assassin's Creed: Syndicate"	"assassins´creed syndicate"
"Assassin's Creed: Syndicate"	"assassin´s creed syndicate"
"Assassin's Creed: Syndicate"	"assissin's creed syndicate"
"Assassin's Creed: Unity"	"AC Unity"
"Assassin's Creed: Unity"	"AC: Unity"
"Assassin's Creed: Unity"	"AC:Unity"
"Assassin's Creed: Unity"	"ACC Unity"
"Assassin's Creed: Unity"	"Ac:u"
"Assassin's Creed: Unity"	"Asassines Creed Unity"
"Assassin's Creed: Unity"	"Asassins Creed Unity"
"Assassin's Creed: Unity"	"Assasin's Creed Unity"
"Assassin's Creed: Unity"	"Assasin's Creed: Unity"
"Assassin's Creed: Unity"	"Assasins Creed Unety"
"Assassin's Creed: Unity"	"Assasins Creed Unity"
"Assassin's Creed: Unity"	"Assasins Creed Untiy"
"Assassin's Creed: Unity"	"Assasins Creed: Unity"
"Assassin's Creed: Unity"	"Assasins creed 5"
"Assassin's Creed: Unity"	"Assasins creet unity"
"Assassin's Creed: Unity"	"Assass. Creed Unity"
"Assassin's Creed: Unity"	"Assassen's Creed Unity"
"Assassin's Creed: Unity"	"Assassin' Creed Unity"
"Assassin's Creed: Unity"	"Assassin's Credits Unity"
"Assassin's Creed: Unity"	"Assassin's Creed  Unity"
"Assassin's Creed: Unity"	"Assassin's Creed - Unity"
"Assassin's Creed: Unity"	"Assassin's Creed Unity (PC)"
"Assassin's Creed: Unity"	"Assassin's Creed Unity"
"Assassin's Creed: Unity"	"Assassin's Creed: Unity"
"Assassin's Creed: Unity"	"Assassin`s Creed Unity"
"Assassin's Creed: Unity"	"Assassind Creed Unity"
"Assassin's Creed: Unity"	"Assassine's Creed Unity"
"Assassin's Creed: Unity"	"Assassines Creed Unity"
"Assassin's Creed: Unity"	"Assassins  Creed Unity"
"Assassin's Creed: Unity"	"Assassins Creed  Unity"
"Assassin's Creed: Unity"	"Assassins Creed : Unity"
"Assassin's Creed: Unity"	"Assassins Creed Unity"
"Assassin's Creed: Unity"	"Assassins Creed: Unity"
"Assassin's Creed: Unity"	"Assassins Crees Unity"
"Assassin's Creed: Unity"	"Assassins Crews unity"
"Assassin's Creed: Unity"	"Assassins creed- unity"
"Assassin's Creed: Unity"	"Assassins' Creed Unity"
"Assassin's Creed: Unity"	"Assassins's Creed Unity"
"Assassin's Creed: Unity"	"AssassinsCreedUnity"
"Assassin's Creed: Unity"	"Assassinscreed Unity"
"Assassin's Creed: Unity"	"Assassin´s Creed Unity"
"Assassin's Creed: Unity"	"Assassin’s Creed Unity"
"Assassin's Creed: Unity"	"Assassin’s Creed: Unity"
"Assassin's Creed: Unity"	"Assiasins Creed Unity"
"Assassin's Creed: Unity"	"Assissins Creed Unity"
"Assassin's Creed: Unity"	"Unity"
"Assassin's Creed: Unity"	"acu"
"Assassin's Creed: Unity"	"assasine creed unityy"
"Assassin's Creed: Unity"	"assasins creedd unity"
"Assassin's Creed: Unity"	"assasins crees unity"
"Assassin's Creed: Unity"	"assassin's creed 5"
"Assassin's Creed: Unity"	"assassins creedd unity"
"Assault Android Cactus"	"Assault Android Cactus"
"Assetto Corsa"	"Asseto Corsa"
"Assetto Corsa"	"Assetto Corsa"
"Assetto Corsa"	"AssettoCorsa"
"Asterix & Friends"	"Asterix & Friends"
"Asterix & Obelix XXL"	"Asterix & Obelix XXL"
"Atomas"	"Atomas"
"Audiosurf 2"	"Audiosurf 2"
"Audiosurf: Ride Your Music"	"Audiosurf"
"Audiosurf: Ride Your Music"	"Audiosurf: Ride Your Music"
"Aura Kingdom"	"Aura Kingdom"
"Auralux"	"Auralux"
"Avalanche 2: Super Avalanche"	"Super Acalanche"
"Awesomenauts"	"Awesomenauts"
"Azkend"	"Azkend (Windows Phone)"
"Azkend"	"Azkend"
"Azure Striker Gunvolt"	"Azure Striker Gunvolt"
"BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien"	"Bit.Trip.Runner 2"
"BIT.TRIP RUNNER"	"BIT.TRIP RUNER"
"BIT.TRIP RUNNER"	"BIT.TRIP RUNNER"
"BIT.TRIP RUNNER"	"Bit.Trip.Runner"
"BRAWL"	"BRAWL"
"Bad Hotel"	"Bad Hotel"
"Bad Piggies"	"Bad Piggies"
"Badlands"	"Bad Lands"
"Badlands"	"Badland (2013)"
"Badlands"	"Badland"
"Badlands"	"Badlands"
"Baldur's Gate II: Enhanced Edition"	"Baldur's Gate II Enhanced Edition"
"Baldur's Gate II: Schatten von Amn"	"BG2"
"Baldur's Gate II: Schatten von Amn"	"Baldur's Gate 2 Enhanced Edition"
"Baldur's Gate II: Schatten von Amn"	"Baldur's Gate 2"
"Baldur's Gate II: Schatten von Amn"	"Baldur's Gate 2: Schatten von Amn"
"Baldur's Gate II: Schatten von Amn"	"Baldur's Gate Enhanced Edition"
"Baldur's Gate II: Schatten von Amn"	"Baldur's Gate II"
"Baldur's Gate II: Schatten von Amn"	"Baldur's Gate II: Enhanced Edition"
"Baldur's Gate II: Schatten von Amn"	"Baldures Gate 2"
"Baldur's Gate II: Schatten von Amn"	"Baldurs Gate 2"
"Baldur's Gate II: Schatten von Amn"	"Baldurs Gate EE"
"Baldur's Gate II: Schatten von Amn"	"Baldur’s Gate 2: Schatten von Amn"
"Baldur's Gate"	"Baldur's Gate 1"
"Baldur's Gate"	"Baldur's Gate"
"Baldur's Gate"	"Baldurs Gat"
"Baldur's Gate"	"Baldurs Gate 1"
"Baldur's Gate"	"Baldurs Gate"
"Baldur's Gate"	"Baldur´s Gate"
"Baldur's Gate"	"Baldur’s Gate"
"Bang Bang Racing"	"Bang Bang Racing"
"Banished"	"Banished"
"Banished"	"Banshied"
"Banjo-Kazooie"	"Banjo-Kazooie"
"Banner Saga"	"Banner Saga"
"Baphomets Fluch 5"	"Baphomets Fluch 5"
"Baphomets Fluch 5"	"Baphomets Fluch: Der Sündenfall"
"Baphomets Fluch"	"Baphomets Fluch (1996)"
"Baphomets Fluch"	"Baphomets Fluch"
"Baphomets Fluch"	"Broken Sword: Shadow of the Templars"
"Barter Empire"	"Barter Empire"
"Bastion"	"Bastion"
"Batman: Arkham Asylum"	"Batman - Arkham Asylum"
"Batman: Arkham Asylum"	"Batman Arkham Asylum GOTY"
"Batman: Arkham Asylum"	"Batman Arkham Asylum"
"Batman: Arkham Asylum"	"Batman: Arkham Asylum GOTY Edition"
"Batman: Arkham Asylum"	"Batman: Arkham Asylum Game of the Year  Edition"
"Batman: Arkham Asylum"	"Batman: Arkham Asylum Game of the Year Edition"
"Batman: Arkham Asylum"	"Batman: Arkham Asylum"
"Batman: Arkham Asylum"	"Batman: Arkham City - Game of the Year  Edition"
"Batman: Arkham City"	"Arkham City"
"Batman: Arkham City"	"Batman Arkham City"
"Batman: Arkham City"	"Batman: Arkham City - Game of the Year Edition"
"Batman: Arkham City"	"Batman: Arkham City GOTY"
"Batman: Arkham City"	"Batman: Arkham City"
"Batman: Arkham City"	"batman arkham clty"
"Batman: Arkham Knight"	"Batman: Arkham Knight"
"Batman: Arkham Knight"	"batman arkham knight"
"Batman: Arkham Knight"	"batman™: arkham knight"
"Batman: Arkham Origins"	"Arkham Origins"
"Batman: Arkham Origins"	"Batman - Arkham Origins"
"Batman: Arkham Origins"	"Batman Arham Origins"
"Batman: Arkham Origins"	"Batman Arkham Origins"
"Batman: Arkham Origins"	"Batman Arkhm Origins"
"Batman: Arkham Origins"	"Batman Origins"
"Batman: Arkham Origins"	"Batman, Arkham Origins"
"Batman: Arkham Origins"	"Batman: Arkham Origin"
"Batman: Arkham Origins"	"Batman: Arkham Origins"
"Batman: Arkham Origins"	"Batman: Origins"
"Batman: Arkham Origins"	"Batman:Arkham Origins"
"Batman: Arkham Origins"	"Batman™: Arkham Origins"
"Battle Island"	"Battle Island"
"Battle Islands"	"Battle Island"
"Battle Realms"	"Battle Realms"
"Battle Worlds: Kronos"	"Battle Worlds Cronos"
"Battle Worlds: Kronos"	"Battle Worlds Kronos"
"Battle Worlds: Kronos"	"Battle Worlds: Kronos"
"Battle Worlds: Kronos"	"Kronos"
"Battle of Britain II: Wings of Victory"	"Wings of Vi"
"BattleBlock Theater"	"Battel Block Theather"
"BattleBlock Theater"	"Battle Block Theatre"
"BattleBlock Theater"	"BattleBlock Theater"
"BattleBlock Theater"	"Battleblock Theatre"
"Battlefield 1942"	"Battlefield 1942"
"Battlefield 1942"	"Battlegroup 42 (Battlefield 1942)"
"Battlefield 2"	"Battlefield 2"
"Battlefield 2"	"Forgotten Hope 2 / Mod von Battlefiled 2"
"Battlefield 3"	"BF 3"
"Battlefield 3"	"BF3"
"Battlefield 3"	"Balttefield 3"
"Battlefield 3"	"Battlefield 3 (Premium)"
"Battlefield 3"	"Battlefield 3 Premium Edition"
"Battlefield 3"	"Battlefield 3 Premium"
"Battlefield 3"	"Battlefield 3"
"Battlefield 3"	"Battlefield3"
"Battlefield 3"	"Bettlefield 3 Limited Edition"
"Battlefield 3"	"batttlefield 3"
"Battlefield 4"	"BF 4"
"Battlefield 4"	"BF4 Premium"
