"Table: [Spiele-Kauf (einmalige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	2	2
10.0	1	3
30.0	1	4
40.0	3	7
50.0	6	13
60.0	1	14
70.0	2	16
75.0	1	17
80.0	4	21
100.0	13	34
120.0	5	39
140.0	1	40
150.0	7	47
160.0	1	48
180.0	1	49
200.0	13	62
250.0	12	74
280.0	1	75
300.0	10	85
350.0	1	86
400.0	11	97
425.0	1	98
500.0	8	106
560.0	2	108
600.0	6	114
700.0	2	116
800.0	3	119
1000.0	6	125
1200.0	1	126
1500.0	2	128
2000.0	1	129
2500.0	1	130
4000.0	1	131
"."	15	146
