"Table: [Spiele-Kauf (einmalige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	19	19
2.5	1	20
5.0	1	21
9.0	1	22
13.0	1	23
15.0	5	28
20.0	9	37
25.0	5	42
30.0	12	54
35.0	2	56
40.0	17	73
45.0	6	79
50.0	43	122
59.0	1	123
60.0	33	156
65.0	1	157
70.0	21	178
75.0	3	181
80.0	25	206
90.0	6	212
95.0	1	213
100.0	120	333
110.0	2	335
113.0	1	336
120.0	37	373
125.0	1	374
130.0	7	381
140.0	3	384
150.0	74	458
160.0	6	464
170.0	1	465
180.0	7	472
200.0	140	612
210.0	2	614
220.0	1	615
230.0	1	616
240.0	3	619
250.0	72	691
260.0	2	693
280.0	1	694
290.0	1	695
300.0	102	797
310.0	1	798
320.0	3	801
330.0	3	804
340.0	1	805
350.0	20	825
355.0	1	826
360.0	2	828
375.0	1	829
380.0	1	830
400.0	55	885
420.0	1	886
430.0	1	887
450.0	8	895
480.0	1	896
500.0	67	963
550.0	1	964
600.0	21	985
665.0	3	988
695.0	1	989
700.0	11	1000
720.0	1	1001
750.0	1	1002
780.0	1	1003
800.0	13	1016
1000.0	14	1030
1100.0	1	1031
1200.0	4	1035
1500.0	4	1039
1800.0	1	1040
2000.0	6	1046
3000.0	1	1047
4000.0	1	1048
18180.0	1	1049
"."	157	1206
